feature;cluster;corr;abs_corr
"(""Would you say that over the last 12 months, your company's activity has:_nan"",)";1;0.062;0.062
('Would you say that over the last 12 months, your pace of work has:_nan',);1;0.062;0.062
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a communication and understanding of business strategy_nan',);2;0.1;0.1
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-has mastery of your position (responsibility, means, skills_nan',);2;0.1;0.1
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_nan',);2;0.1;0.1
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_nan',);2;0.1;0.1
('Q16- And for each of these sentences?-I would recommend my company to a friend_nan',);2;0.099;0.099
('Q16- And for each of these sentences?-I am proud to work in my company_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-e management_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-recognition at work_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-moments of conviviality_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a balance between private life and professional life_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-The services provided by the company (cr�che, concierge, gym, etc.)_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a social protection (mutual health, insurance) offered by your company_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-working hours_nan',);2;0.099;0.099
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_nan',);2;0.099;0.099
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_nan',);2;0.099;0.099
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_nan',);2;0.099;0.099
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_nan',);2;0.09;0.09
"(""Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-'work organization_nan"",)";3;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-clarity of your role in the company�s activity_nan',);3;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-access to professional training_nan',);3;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a relationship with your direct superior_nan',);3;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-the prospects for development_nan',);3;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-tools or your workstation_nan',);3;0.097;0.097
('Q34- In your personal life, would you say:-If there is a problem I can talk to a loved one_nan',);3;0.097;0.097
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-atmosphere in your team_nan',);3;0.096;0.096
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-to the eyes_nan',);3;0.096;0.096
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-relationships between services_nan',);3;0.095;0.095
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-recognition at work_Satisfying',);4;-0.157;0.157
"(""Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-'work organization_Satisfying"",)";4;-0.142;0.142
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-the prospects for development_Satisfying',);4;-0.141;0.141
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a relationship with your direct superior_Satisfying',);4;-0.14;0.14
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-e management_Satisfying',);4;-0.14;0.14
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-relationships between services_Satisfying',);4;-0.137;0.137
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a communication and understanding of business strategy_Satisfying',);4;-0.133;0.133
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-atmosphere in your team_Satisfying',);4;-0.128;0.128
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-tools or your workstation_Satisfying',);4;-0.123;0.123
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-clarity of your role in the company�s activity_Satisfying',);4;-0.119;0.119
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-The services provided by the company (cr�che, concierge, gym, etc.)_Satisfying',);4;-0.102;0.102
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-access to professional training_Satisfying',);4;-0.101;0.101
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_Confident',);5;-0.138;0.138
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-moments of conviviality_Satisfying',);5;-0.129;0.129
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-has mastery of your position (responsibility, means, skills_Satisfying',);5;-0.114;0.114
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-working hours_Satisfying',);5;-0.112;0.112
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a balance between private life and professional life_Satisfying',);5;-0.111;0.111
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_Confident',);5;-0.103;0.103
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_Confident',);5;-0.101;0.101
('Q16- And for each of these sentences?-I would recommend my company to a friend_Rather',);5;-0.099;0.099
('Q16- And for each of these sentences?-I am proud to work in my company_Rather',);5;-0.086;0.086
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_Confident',);5;-0.084;0.084
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_Confident',);5;-0.072;0.072
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a social protection (mutual health, insurance) offered by your company_Satisfying',);5;-0.069;0.069
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_Confident',);5;-0.064;0.064
('STATUS_Frames',);6;-0.09;0.09
('Q13- Is the performance of your work taxing on you?-To perform repetitive gestures_Never',);6;-0.078;0.078
('Q13- Is the performance of your work taxing on you?-To work in noise_Never',);6;-0.076;0.076
('Q10- Do you have shift work (work organized in successive teams, which take turns at the same workstations) with alternating hours?_No',);6;-0.075;0.075
('Q12- Do you work most often?_In an office alone or in pairs',);6;-0.071;0.071
('Q13- Is the performance of your work taxing on you?-To carry or move heavy loads_Never',);6;-0.07;0.07
('Q13- Is the performance of your work taxing on you?-To remain standing for a long time or in an awkward posture_Never',);6;-0.068;0.068
('Q13- Is the performance of your work taxing on you?-Working in the cold / in the heat_Never',);6;-0.068;0.068
('Q13- Is the performance of your work taxing on you?-To work on screen_Most of the time',);6;-0.05;0.05
('Q15- Indicate whether each of the following sentences suits you-My job is physically tiring_Not at all',);6;-0.05;0.05
('In which sector of activity do you work?_Design office and engineering',);6;-0.041;0.041
('Q14- During your work, are you in a situation? (Of-working on machinery that could expose you to injury_No',);7;-0.089;0.089
('Q14- During your work, are you in a situation? (Of-breathe toxic products or dust_No',);7;-0.081;0.081
('Q14- During your work, are you in a situation? (Of-risk a serious fall_No',);7;-0.071;0.071
('Q14- During your work, are you in a situation? (Of-handle toxic or dangerous products_No',);7;-0.062;0.062
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-An imposed change of position or profession_nan',);8;-0.057;0.057
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A restructuring or reorganization of your service or business_nan',);8;-0.037;0.037
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-A social plan, layoffs in your company_nan',);8;-0.016;0.016
('Q17- At work, does it happen to you: (D-e receiving hurtful or aggressive remarks within the company_Never',);9;-0.103;0.103
('Q15- Indicate whether each of the following sentences suits you-My work is nervously tiring_Rather not',);9;-0.069;0.069
('Q17- At work, does it happen to you: (D-being insulted or attacked by the public or customers_Never',);9;-0.047;0.047
('Q22- Over the last 12 months have you personally experienced one or more of the following events:-Loss of job (yourself or your spouse)_nan',);9;-0.045;0.045
('Q15- Indicate whether each of the following sentences suits you-My job requires working very quickly or very intensely_Rather not',);9;-0.044;0.044
('Q5- Apart from your children, do you have a dependent or sick family member(s) whom you take care of regularly?_No',);9;-0.01;0.01
('Q15- Indicate whether each of the following sentences suits you-My job requires long periods of concentration_Rather not',);9;0.006;0.006
('What is the size of your business (in total, all locations combined)? 2009 fake_Less than 10 employees',);10;-0.076;0.076
('Q12- Do you work most often?_At home teleworking',);10;-0.047;0.047
('Q13- Is the performance of your work taxing on you?-To work on screen_Never',);10;0.033;0.033
('Q25-Your workplace-home transportation time (round trip) is:_Less than 1 hour per day',);10;-0.032;0.032
('Q12- Do you work most often?_Outside-outside',);10;0.024;0.024
('In which sector of activity do you work?_Construction',);10;0.021;0.021
('Q57- How do you most frequently eat your midday meal?_When returning home',);10;-0.015;0.015
('Q1- Your sex?_A woman',);11;0.063;0.063
('In which sector of activity do you work?_Retail business',);11;-0.012;0.012
('STATUS_Employees',);11;-0.004;0.004
('Q9- Are you working?_Part time',);11;-0.001;0.001
('Q12- Do you work most often?_In a commercial premises or agency',);11;-0.001;0.001
('Q38- Did you:-A chronic illness (a long-term illness or one that recurs frequently_No',);12;-0.218;0.218
('Q42-During the last 12 months have you had a work accident?_No',);12;-0.212;0.212
('Q38- Did you:-Disabilities_No',);12;-0.152;0.152
('Q62- Do you take sleeping pills, anxiolytics or anti-depressants:_Never',);12;-0.152;0.152
('Q37- How do you rate your state of health in general?_Good',);12;-0.144;0.144
('Q60- Are you a smoker?_No',);12;-0.049;0.049
Q4- (3 to 6 years old) In each of the following age groups, how many children live totally or partially with you?;12;0.022;0.022
('Q58- For each of these drinks, indicate whether you consume them:-Every day_Energy drinks (like Red Bull or Monster)',);12;-0.017;0.017
('Q58- For each of these drinks, indicate whether you consume them:-At least once a week_Energy drinks (like Red Bull or Monster)',);12;0.016;0.016
('Q61- Do you smoke cannabis, hashish, marijuana?_Never',);12;-0.008;0.008
('Q2- How old are you?_30 - 39',);12;0.003;0.003
('Q63- Over the past 12 months have you experienced the following difficulties?-A lack of tone_sometimes',);13;-0.06;0.06
('Q34- In your personal life, would you say:-I have personal concerns (emotional life, money, health_Rather not',);13;-0.054;0.054
('Q63- Over the past 12 months have you experienced the following difficulties?-Sleep disorders (difficulty falling asleep, waking up at night, waking up early without being able to go back to sleep, etc.)_sometimes',);13;-0.046;0.046
('Q15- Indicate whether each of the following sentences suits you-At times, I have difficulty managing priorities_Rather not',);13;-0.017;0.017
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_No, rather not',);13;-0.016;0.016
('Q17- At work, does it happen to you: (D-have decreased alertness, lack of attention_Sometimes',);13;0.008;0.008
('Q34- In your personal life, would you say:-One of my loved ones (child/parent/spouse) is causing me a lot of worry_Rather not',);13;-0.003;0.003
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the back_Sometimes',);14;-0.102;0.102
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in other parts of the body_Sometimes',);14;0.053;0.053
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the neck, shoulder, arm_Sometimes',);14;-0.043;0.043
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the head_Sometimes',);14;-0.036;0.036
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-to the eyes_Sometimes',);14;-0.019;0.019
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the leg, foot, knee_Sometimes',);14;-0.003;0.003
('Q15- Indicate whether each of the following sentences suits you-My job is physically tiring_Rather not',);15;-0.06;0.06
('Q13- Is the performance of your work taxing on you?-To work in noise_Rarely',);15;-0.047;0.047
('Q13- Is the performance of your work taxing on you?-To perform repetitive gestures_Rarely',);15;-0.044;0.044
('Q13- Is the performance of your work taxing on you?-To remain standing for a long time or in an awkward posture_Rarely',);15;-0.037;0.037
('Q13- Is the performance of your work taxing on you?-To carry or move heavy loads_Rarely',);15;-0.026;0.026
('Q13- Is the performance of your work taxing on you?-Working in the cold / in the heat_Rarely',);15;-0.013;0.013
('Q34- In your personal life, would you say:-If there is a problem I can talk to a loved one_Rather',);16;-0.045;0.045
('Q15- Indicate whether each of the following sentences suits you-My job requires long periods of concentration_Rather',);16;-0.033;0.033
('Q34- In your personal life, would you say:-I feel well surrounded_Rather',);16;-0.02;0.02
('Q15- Indicate whether each of the following sentences suits you-My job requires working very quickly or very intensely_Rather',);16;-0.017;0.017
('Q15- Indicate whether each of the following sentences suits you-My work is nervously tiring_Rather',);16;-0.013;0.013
('Q15- Indicate whether each of the following sentences suits you-At times, I have difficulty managing priorities_Rather',);16;0.007;0.007
('Q15- Indicate whether each of the following sentences suits you-My company takes care of the well-being of its employees_Rather',);17;-0.083;0.083
('Q15- Indicate whether each of the following sentences suits you-I feel recognized by my hierarchy_Rather',);17;-0.082;0.082
('Q15- Indicate whether each of the following sentences suits you-I have the opportunity to develop my professional skills_Rather',);17;-0.068;0.068
('Q15- Indicate whether each of the following sentences suits you-I have a well-suited workstation_Rather',);17;-0.067;0.067
('Q15- Indicate whether each of the following sentences suits you-I am satisfied with my work_Rather',);17;-0.056;0.056
('Q15- Indicate whether each of the following sentences suits you-In the event of a problem, I can count on my supervisor_Rather',);17;-0.056;0.056
('Q15- Indicate whether each of the following sentences suits you-My work allows me to learn new things_Rather',);17;-0.046;0.046
('Q15- Indicate whether each of the following sentences suits you-In my job I have the opportunity to make decisions_Rather',);17;-0.038;0.038
('Q15- Indicate whether each of the following sentences suits you-There is good understanding where I work_Rather',);17;-0.037;0.037
('Q15- Indicate whether each of the following sentences suits you-Security is a priority for my business_Rather',);17;-0.027;0.027
('Q15- Indicate whether each of the following sentences suits you-I systematically seek to improve the way I work_Rather',);17;-0.004;0.004
('Q63- Over the past 12 months have you experienced the following difficulties?-A lack of tone_Never',);18;-0.13;0.13
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in other parts of the body_Never',);18;-0.125;0.125
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the leg, foot, knee_Never',);18;-0.122;0.122
('Q63- Over the past 12 months have you experienced the following difficulties?-Sleep disorders (difficulty falling asleep, waking up at night, waking up early without being able to go back to sleep, etc.)_Never',);18;-0.119;0.119
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the neck, shoulder, arm_Never',);18;-0.116;0.116
('Q37- How do you rate your state of health in general?_Very good',);18;-0.11;0.11
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the back_Never',);18;-0.1;0.1
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-to the eyes_Never',);18;-0.073;0.073
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the head_Never',);18;-0.068;0.068
('Q34- In your personal life, would you say:-I have personal concerns (emotional life, money, health_Not at all',);19;-0.096;0.096
('Q34- In your personal life, would you say:-One of my loved ones (child/parent/spouse) is causing me a lot of worry_Not at all',);19;-0.039;0.039
('Q34- In your personal life, would you say:-If there is a problem I can talk to a loved one_Completetly',);19;-0.009;0.009
('Q34- In your personal life, would you say:-I feel well surrounded_Completetly',);19;0.002;0.002
('Q17- At work, does it happen to you: (D-have decreased alertness, lack of attention_Never',);20;-0.084;0.084
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_No not at all',);20;-0.048;0.048
('Q15- Indicate whether each of the following sentences suits you-My work is nervously tiring_Not at all',);20;-0.043;0.043
('Q15- Indicate whether each of the following sentences suits you-My job requires working very quickly or very intensely_Not at all',);20;-0.024;0.024
('Q15- Indicate whether each of the following sentences suits you-My job requires long periods of concentration_Not at all',);20;0.003;0.003
('Q15- Indicate whether each of the following sentences suits you-At times, I have difficulty managing priorities_Not at all',);20;0.003;0.003
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_Very confident',);21;-0.07;0.07
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_Very confident',);21;-0.054;0.054
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_Very confident',);21;-0.05;0.05
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_Very confident',);21;-0.036;0.036
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_Very confident',);21;-0.031;0.031
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_Very confident',);21;-0.013;0.013
('Q16- And for each of these sentences?-I am proud to work in my company_Completetly',);22;-0.065;0.065
('Q15- Indicate whether each of the following sentences suits you-I feel recognized by my hierarchy_Completetly',);22;-0.06;0.06
('Q16- And for each of these sentences?-I would recommend my company to a friend_Completetly',);22;-0.059;0.059
('Q15- Indicate whether each of the following sentences suits you-There is good understanding where I work_Completetly',);22;-0.054;0.054
('Q15- Indicate whether each of the following sentences suits you-My company takes care of the well-being of its employees_Completetly',);22;-0.046;0.046
('Q15- Indicate whether each of the following sentences suits you-In the event of a problem, I can count on my supervisor_Completetly',);22;-0.046;0.046
('Q15- Indicate whether each of the following sentences suits you-I have a well-suited workstation_Completetly',);22;-0.045;0.045
('Q15- Indicate whether each of the following sentences suits you-I am satisfied with my work_Completetly',);22;-0.042;0.042
('Q15- Indicate whether each of the following sentences suits you-I have the opportunity to develop my professional skills_Completetly',);22;-0.042;0.042
('Q15- Indicate whether each of the following sentences suits you-My work allows me to learn new things_Completetly',);22;-0.037;0.037
('Q15- Indicate whether each of the following sentences suits you-In my job I have the opportunity to make decisions_Completetly',);22;-0.037;0.037
('Q15- Indicate whether each of the following sentences suits you-Security is a priority for my business_Completetly',);22;-0.015;0.015
('Q15- Indicate whether each of the following sentences suits you-I systematically seek to improve the way I work_Completetly',);22;0.003;0.003
('Q15- Indicate whether each of the following sentences suits you-I have a well-suited workstation_Rather not',);23;0.084;0.084
('Q15- Indicate whether each of the following sentences suits you-I am satisfied with my work_Rather not',);23;0.071;0.071
('Q15- Indicate whether each of the following sentences suits you-I have the opportunity to develop my professional skills_Rather not',);23;0.059;0.059
('Q15- Indicate whether each of the following sentences suits you-My company takes care of the well-being of its employees_Rather not',);23;0.054;0.054
('Q15- Indicate whether each of the following sentences suits you-I feel recognized by my hierarchy_Rather not',);23;0.052;0.052
('Q15- Indicate whether each of the following sentences suits you-My work allows me to learn new things_Rather not',);23;0.049;0.049
('Q15- Indicate whether each of the following sentences suits you-In the event of a problem, I can count on my supervisor_Rather not',);23;0.048;0.048
('Q15- Indicate whether each of the following sentences suits you-In my job I have the opportunity to make decisions_Rather not',);23;0.046;0.046
('Q15- Indicate whether each of the following sentences suits you-Security is a priority for my business_Rather not',);23;0.026;0.026
('Q16- And for each of these sentences?-I am proud to work in my company_Rather not',);23;0.022;0.022
('Q16- And for each of these sentences?-I would recommend my company to a friend_Rather not',);23;0.014;0.014
('Q15- Indicate whether each of the following sentences suits you-I systematically seek to improve the way I work_Rather not',);23;0.003;0.003
"(""Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-'work organization_Unsatisfactory"",)";24;0.08;0.08
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a relationship with your direct superior_Unsatisfactory',);24;0.08;0.08
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-relationships between services_Unsatisfactory',);24;0.075;0.075
('Q15- Indicate whether each of the following sentences suits you-There is good understanding where I work_Rather not',);24;0.069;0.069
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-atmosphere in your team_Unsatisfactory',);24;0.069;0.069
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-recognition at work_Unsatisfactory',);24;0.067;0.067
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-the prospects for development_Unsatisfactory',);24;0.066;0.066
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-tools or your workstation_Unsatisfactory',);24;0.062;0.062
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-clarity of your role in the company�s activity_Unsatisfactory',);24;0.057;0.057
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-e management_Unsatisfactory',);24;0.051;0.051
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-moments of conviviality_Unsatisfactory',);24;0.048;0.048
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a communication and understanding of business strategy_Unsatisfactory',);24;0.042;0.042
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-access to professional training_Unsatisfactory',);24;0.034;0.034
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-has mastery of your position (responsibility, means, skills_Unsatisfactory',);24;0.034;0.034
